date,open,high,low,close,volume
2018-06-27 04:40:00,7.7342,7.7342,7.729,7.7295,1186.55888038
2018-06-27 04:39:00,7.7325,7.7329,7.729,7.7329,988.66440334
2018-06-27 04:38:00,7.7338,7.7348,7.731,7.7348,1073.84715782
2018-06-27 04:37:00,7.7441,7.7441,7.7294,7.731,737.73074661
2018-06-27 04:36:00,7.7357,7.7441,7.7235,7.7441,2442.57472787
2018-06-27 04:35:00,7.7358,7.7358,7.7357,7.7358,1225.93863733
2018-06-27 04:34:00,7.73280867,7.73280867,7.7,7.7298,3274.69131555
2018-06-27 04:33:00,7.7358,7.7358,7.7358,7.7358,6801.59177436
2018-06-27 04:32:00,7.7381,7.7381,7.7358,7.7358,2072.86285938
2018-06-27 04:31:00,7.7499,7.7499,7.7498,7.7498,225.6845
2018-06-27 04:30:00,7.737,7.75,7.7358,7.75,3013.73513002
2018-06-27 04:29:00,7.7548,7.7557,7.7401,7.7401,2068.64488093
2018-06-27 04:28:00,7.7378,7.7639,7.7378,7.7595,4257.251531
2018-06-27 04:27:00,7.736,7.7378,7.7341,7.7378,169.5318
2018-06-27 04:26:00,7.73,7.746,7.73,7.737,3911.11009907
2018-06-27 04:25:00,7.7359,7.7423,7.724,7.7314,21437.73414976
2018-06-27 04:24:00,7.7452,7.7452,7.7441,7.7441,1321.20125
2018-06-27 04:23:00,7.74,7.7578,7.74,7.7434,7165.62778819
2018-06-27 04:22:00,7.7366,7.748,7.7366,7.748,3000.0
2018-06-27 04:21:00,7.7319,7.739,7.7319,7.7348,6944.29128122
2018-06-27 04:20:00,7.732,7.732,7.7292,7.7301,523.49293958
2018-06-27 04:19:00,7.7244,7.7288,7.7244,7.7288,179.39252031
2018-06-27 04:18:00,7.7183,7.7199,7.7183,7.7199,100.0
2018-06-27 04:17:00,7.7367,7.753,7.7156,7.7156,16314.8760844
2018-06-27 04:16:00,7.719,7.7367,7.719,7.7354,5348.73069369
2018-06-27 04:15:00,7.708,7.716,7.708,7.7151,4804.82344126
